Lp;etykieta [label];grupa;de [de];Polski ISO [i]
1;Go up;;"";"Katalog wy¿ej"

2;No right to page;action;"";"Brak uprawnieñ do strony"
3;No right to run;action;"";"Brak praw do wykonania akcji"

4;Action;article;"";"Akcja"
5;Article name;article;"";"Nazwa pozycji"
6;Article photo;article;"";"Zdjêcie pozycji"
7;Description;article;"";"Opis"
8;Price;article;"";"Cena"
9;Promotion;article;"";"Promocja"
10;Stack;article;"";"Magazyn"

11;Add to cart;buttons;"";"do koszyka"
12;Add to favorite;buttons;"";"Dodaj do ulubionych"
13;Ask;buttons;"";"Zapytaj"
14;Back;buttons;"";"Cofnij"
15;Delete this;buttons;"";"Usuñ to"
16;Order this product;buttons;"";"Zamów tê pozycjê"
17;Print to AcrobatReader;buttons;"";"Drukuj do PDF"
18;Show list;buttons;"";"Poka¿ listê"
19;Show this product;buttons;"";"Poka¿ tê pozycjê"

20;Are You sure, You want to clear the cart ?;cart;"";"Czy jeste pewien, ¿e chcesz opró¿niæ koszyk ?"
21;Are You sure, You want to delete this article ?;cart;"";"Czy jeste pewien, ¿e chcesz usun¹æ pozycjê ?"
22;Article Id;cart;"";"ID"
23;Article added to offer;cart;"";"Pozycja dodana do koszyka"
24;Article chain;cart;"";"£añcuch towarów"
25;Article id.;cart;"";"Identyfikator towaru"
26;Article index.;cart;"";"Indeks towaru"
27;Article sizes;cart;"";"Wymiary"
28;Article spec.;cart;"";""
29;CAUTION: weight tolerance for order equals +/-10%;cart;"";"UWAGA: tolerancja wagowa 10%"
30;Checkout;cart;"";"Do kasy"
31;Choose delivery type;cart;"";"Wybierz rodzaj dostawy"
32;Client code;cart;"";"Kod klienta"
33;Client name;cart;"";"Nazwa klienta"
34;Client order;cart;"";"Nr zamówienia"
35;Confirmation of order;cart;"";"Potwierdzenie zamówienia"
36;Continue shoping;cart;"";"Kontunuuj zakupy"
37;Date;cart;"";"Data wp³ywu"
38;Delivery;cart;"";"Adres dostawy"
39;Delivery costs;cart;"";"Koszt dostawy"
40;Delivery free;cart;"";"Dostawa bezp³atna"
41;Delivery type;cart;"";"Rodzaj dostawy"
42;Gross;cart;"";"Brutto"
43;Gross price;cart;"brutto"";""Cena&nbsp"
44;Gross value;cart;"";"Wartoæ brutto"
45;Indeks;cart;"";"Indeks"
46;Net;cart;"";"Netto"
47;Netto;cart;"";"Netto"
48;Order guide;cart;"";""
49;Order status;cart;"";"Status zamówienia"
50;Order value;cart;"";"Wartoæ zamówienia"
51;Payment type;cart;"";"Sposób p³atnoci"
52;Please, fill the order number field;cart;"";"Wype³nij numer zamówienia"
53;Price netto;cart;"";"Cena netto"
54;Quantity;cart;"";"Iloæ"
55;Realisation date;cart;"";"Data realizacji"
56;Recalculate;cart;"";"Przelicz"
57;Specyfication;cart;"";"Specyfikacja"
58;Summary;cart;"";"Razem"
59;Total;cart;"";"Razem"
60;Total value;cart;"";"Razem wartoæ"
61;Total value gross;cart;"";"Razem wartoæ"
62;Value;cart;"";"Wartoæ"
63;Wartoæ;cart;"";"Wartoæ"
64;Your order;cart;"";"Twoj zamówienie z dnia"
65;all_prices_gross_values;cart;"";"Wszystkie podane ceny s¹ cenami brutto."
66;cancel;cart;"";"rezygnacja"
67;cart_electro_missing;cart;"";"w Twoim koszyku znajduj¹ siê akcesoria sterowane za pomoc¹ pilota lub prze³¹cznika naciennego. Do kompletu potrzebne jest sterowanie elektryczne."
68;gross;cart;"";"brutto"
69;netto;cart;"";"netto"
70;no_article_in_cart;cart;"";"brak towarów w koszyku"
71;price_zero_br;cart;"";"brak ceny"
72;price_zero_nt;cart;"";"brak ceny"
73;question_add_promotion_item;cart;"";"Super promocja!"
74;question_interested;cart;"";"dodaæ do koszyka"
75;szt;cart;"";"szt"
76;value_zero_br;cart;"";"brak"
77;value_zero_nt;cart;"";"brak"

78;crm_title_1;crm;"";""
79;crm_title_2;crm;"";""
80;crm_title_3;crm;"";""
81;crm_variables_1;crm;"";""
82;crm_variables_2;crm;"";""
83;crm_variables_3;crm;"";""

84;COMPANY NAME;firma;"";"FAKRO Sp z o.o, ul. Wêgierska 144a 33-300 Nowy S¹cz"

85;AJP;kategorie;"";"¯aluzje"
86;APS;kategorie;"";"Zas³ony plisowane"
87;ARF;kategorie;"";"Rolety wewnêtrzne ARF"
88;ARS;kategorie;"";"Rolety wewnêtrzne ARS"

89;e;lang;"";"Angielski"
90;i;lang;"";"Polski ISO"
91;jêzyki;lang;"";"jêzyk"
92;langs;lang;"";"i,e"

93;Accept date;order;"";"Data potwierdzenia"
94;Accepted/denied by;order;"";"Przyjête/odrzucone przez"
95;Address;order;"";"Adres"
96;Answer_no;order;"";"NIE"
97;Answer_yes;order;"";"TAK"
98;Are You sure, You want to delete this order ?;order;"";"Czy jeste pewien, ¿e chcesz usun¹æ zamówienie ?"
99;Check the electric modules cancelation;order;"";"Zaznacz, ¿e wiadomie rezygnujesz z zakupu modu³u sterowania elektrycznego"
100;Choose payment type;order;"";"Wybierz sposób p³atnoci"
101;Credit card;order;"";"Karta kredytowa"
102;Customer name;order;"";"Nazwa klienta"
103;Delivery address;order;"";"Adres dostawy"
104;Delivery cost;order;"";"Koszty dostawy"
105;Go order;order;"";"Zamów"
106;Index Name;order;"";"Indeks Nazwa"
107;Invoice;order;"";"Faktura VAT"
108;No;order;"";"Nr"
109;No order in database;order;"";"brak zamówienia w bazie danych"
110;Order in FAKRO market no;order;"";"Zamówienie w sklepie FAKRO nr"
111;Order items;order;"";"Pozycje zamówienia"
112;Pay;order;"";"Zap³aæ"
113;Payer;order;"";"P³atnik"
114;Payment type not chosen;order;"";"Nie wybrano sposobu p³atnoci"
115;Print;order;"";"Drukuj"
116;Receipient;order;"";"Odbiorca"
117;Tax id;order;"";"NIP"
118;Temporary status;order;"";"Aktualny status"
119;Terms and condition not accepted;order;"";"Nie zaakceptowano regulaminu sklepu"
120;Terms and conditions;order;"";"Regulamin Sklepu"
121;Value netto;order;"";"Wartoæ netto"
122;Value without promotion;order;"";"Wartoæ bez promocji"
123;When received;order;"";"Przy odbiorze"
124;Yes;order;"";"TAK"
125;electric modules;order;"";"modu³u(ów) sterowania elektrycznego"
126;payment_-;order;"";"przy odbiorze"
127;payment_c;order;"";"karta kredytowa"
128;printlist;order;"";"drukuj listê"
129;sysmsg_delivery_free_info_prefix;order;"";"Je¿eli wartoæ Twojego zamówienia przekroczy"
130;sysmsg_delivery_free_info_suffix;order;"";"- dostawa bezp³atna!"
131;total_order_value;order;"";"Ca³kowita wartoæ zamówienia"
132;yes I agree;order;"";"tak, akceptujê"
133;yes, I cancel purchasing;order;"";"tak, rezygnujê z zakupu"

134;display_ajp;probki;"";"none"
135;display_aps;probki;"";""
136;display_arf;probki;"";"inline"
137;display_ars;probki;"";"inline"

138;Account info;register;"";"Parametry konta"
139;Agreement required;register;"";"Zgoda jest wymagana"
140;Data required;register;"";"Dane wymagane"
141;Dont enter if you want us to deliver to payer;register;"";"Je¿eli przesy³ka ma byæ przes³ana na adres p³atnika nie wype³niaj pól poni¿ej"
142;Enter payer information;register;"";"Teraz proszê o wype³nienie informacji o p³atniku"
143;Enter your personal data;register;"";"Wprowad poni¿ej swoje dane potrzebane do zalogowania"
144;Name;register;"";"Nazwa"
145;Order receiver - delivery address;register;"";"Odbiorca przesy³ki - adres do korespondencji"
146;Payer info;register;"";"Dane p³atnika"
147;Save;register;"";"Zapisz"
148;Your data;register;"";"Twoje dane"
149;register_agreement_1;register;"";"Wyra¿am zgodê na wykorzystywanie i przetwarzanie przez FAKRO Sp. z o.o. z siedzib¹ w Nowym S¹czu przy ul. Wêgierskiej 144A, moich danych osobowych zawartych w tym formularzu w celach marketingowych, zgodnie z ustaw¹ z dn. 29.08.1997r. o ochronie danych osobowych (Dz. U. Nr 133, poz.883)."
150;register_agreement_2;register;"";"Wyra¿am zgodê na otrzymywanie informacji promocyjnych, informacyjnych, reklamowych i marketingowych o produktach Fakro Sp. z o.o. 33-300 Nowy S¹cz ul. Wêgierska 144a, na mój adres e-mail i telefon zgodnie z ustaw¹ z dnia 18.07.2002r. o wiadczeniu us³ug drog¹ elektroniczn¹ (Dz. U. Nr 144, poz. 1204)."
151;submit_taxid_if_invoice;register;"";"Je¿eli chcesz otrzymaæ fakturê VAT, proszê podaj NIP"

152;status_;status;"";"status"
153;status_-1;status;"";"Zrealizowane"
154;status_-5;status;"";"Odrzucone"
155;status_0;status;"";"Nowe"
156;status_1;status;"";"Przyjête"
157;status_2;status;"";"Zap³acone"

158;Add article;system;"";"Dodaj pozycjê towaru"
159;Add article to offer cart;system;"";"Dodaj pozycjê do koszyka"
160;Add category;system;"";"Dodaj kategoriê"
161;Add promotion;system;"";"Dodaj promocjê"
162;Add to favourites;system;"";"Dodaj do ulubionych"
163;Article index;system;"";"Indeks towaru"
164;Articles count;system;"";"Iloæ pozycji"
165;Articles missing;system;"";"Brak pozycji"
166;Category code;system;"";"Kod kategorii"
167;Category name.;system;"";"Nazwa kategorii"
168;Categoty name;system;"";"Nazwa kategorii"
169;Clear cart;system;"";"Opró¿nij koszyk"
170;Count values;system;"";""
171;Delete;system;"";"Usuñ"
172;Delivery addres;system;"";"Adres dostawy"
173;Following articles cant be added to cart:;system;"";"Poni¿sze pozycje nie mog¹ byæ dodane do koszyka"
174;Lp;system;"";"Lp"
175;Lp.;system;"";"Lp."
176;Move to cart;system;"";"Przenie do koszyka"
177;No orders in database.;system;"";"Brak zamówieñ"
178;Notice;system;"";"Sposób p³atnoci za sk³adane zamówienie"
179;Order;system;"";"Zamówienie"
180;Order date;system;"";"Data i godzina zamówienia"
