Lp;etykieta [label];grupa;Polski ISO [i]
1;Go up;;Katalog wyżej

2;No right to page;action;Brak uprawnień do strony
3;No right to run;action;Brak praw do wykonania akcji

4;Accept notice;admin;Uwagi przesłane do klienta przy potwierdzeniu
5;Actions;admin;Akcje
6;Add company;admin;Dodaj firmę
7;All categories;admin;Wszystkie kategorie
8;All customers;admin;Wszyscy kontrahenci
9;Are you sure you want to delete;admin;Czy jeste pewien, że chcesz usunšć
10;Begin;admin;Poczštek
11;Big photo;admin;Duże zdjęcie
12;Box measure;admin;Jednostka opakowania
13;Cart time;admin;Czas życia w koszyku
14;Categories;admin;Kategorie
15;Check for print list;admin;Zaznacz do wydruku
16;Choose from list;admin;Wybierz z listy
17;Code;admin;Kod
18;Customer;admin;Kontrahent
19;Date / no;admin;Data / nr
20;Default discount;admin;Domylny rabat
21;End;admin;Koniec
22;Items;admin;Ile pozycji
23;Keywords;admin;Słowa kluczowe
24;Limit;admin;Ograniczenie
25;Look;admin;Zobacz
26;Market price;admin;Cena rynkowa
27;Measure;admin;Jednostka
28;Middle photo;admin;rednie zdjęcie
29;Producer;admin;Producent
30;Quant;admin;Kwant
31;Reject notice;admin;Powód odrzucenia
32;Set status;admin;Nadaj status
33;Shop;admin;Sklep
34;Short description;admin;Krótki opis
35;Small photo;admin;Małe zdjęcie
36;Sort by;admin;Sortuj wg
37;Sort priority;admin;Sortowanie ustalone
38;Stack controll;admin;Kontrola magazynu
39;Time range;admin;Zakres czasowy
40;category;admin;kategoria
41;customer;admin;kontrahent
42;default_accept_notice;admin;ok
43;default_reject_notice;admin;niestety
44;page;admin;strona

45;Action;article;Akcja
46;Article name;article;Nazwa pozycji
47;Article photo;article;Zdjęcie pozycji
48;Description;article;Opis
49;Price;article;Cena
50;Promotion;article;Promocja
51;Stack;article;Magazyn

52;Add to cart;buttons;do koszyka
53;Add to favorite;buttons;Dodaj do ulubionych
54;Ask;buttons;Zapytaj
55;Back;buttons;Cofnij
56;Delete this;buttons;Usuń to
57;Order this product;buttons;Zamów tę pozycję
58;Print to AcrobatReader;buttons;Drukuj do PDF
59;Show list;buttons;Pokaż listę
60;Show this product;buttons;Pokaż tę pozycję

61;All prices are gross prices;cart;All prices are gross prices Wszystkie podane ceny sš cenami brutto.
62;Are You sure, You want to clear the cart ?;cart;Czy jeste pewien, że chcesz opróżnić koszyk ?
63;Are You sure, You want to delete this article ?;cart;Czy jeste pewien, że chcesz usunšć pozycję ?
64;Article Id;cart;ID
65;Article added to offer;cart;Pozycja dodana do koszyka
66;Article chain;cart;Łańcuch towarów
67;Article id.;cart;Identyfikator towaru
68;Article index.;cart;Indeks towaru
69;Article sizes;cart;Wymiary
70;Article spec.;cart;
71;CAUTION: weight tolerance for order equals +/-10%;cart;UWAGA: tolerancja wagowa 10%
72;Checkout;cart;Do kasy
73;Choose delivery type;cart;Wybierz rodzaj dostawy
74;Client code;cart;Kod klienta
75;Client name;cart;Nazwa klienta
76;Client order;cart;Nr zamówienia
77;Confirmation of order;cart;Potwierdzenie zamówienia
78;Continue shoping;cart;Kontunuuj zakupy
79;Date;cart;Data wpływu
80;Delivery;cart;Adres dostawy
81;Delivery costs;cart;Koszt dostawy
82;Delivery free;cart;Dostawa bezpłatna
83;Delivery type;cart;Rodzaj dostawy
84;Dimension;cart;Wymiary
85;Gross;cart;Brutto
86;Gross price;cart;Cena brutto
87;Gross value;cart;Wartoć brutto
88;Indeks;cart;Indeks
89;Net;cart;Netto
90;Netto;cart;Netto
91;Order guide;cart;
92;Order status;cart;Status zamówienia
93;Order value;cart;Wartoć zamówienia
94;Payment type;cart;Sposób płatnoci
95;Please, fill the order number field;cart;Wypełnij numer zamówienia
96;Price netto;cart;Cena netto
97;Quantity;cart;Iloć
98;Realisation date;cart;Data realizacji
99;Recalculate;cart;Przelicz
100;Specyfication;cart;Specyfikacja
101;Summary;cart;Razem
102;Total;cart;Razem
103;Total value;cart;Razem wartoć
104;Total value gross;cart;Razem wartoć
105;Value;cart;Wartoć
106;Wartoć;cart;Wartoć
107;Your order;cart;Twoj zamówienie z dnia
108;all_prices_gross_values;cart;Wszystkie podane ceny sš cenami brutto.
109;article_items_in_cart;cart;Aktualnie w koszyku znajduje się pozycji
110;cancel;cart;rezygnacja
111;cart_electro_missing;cart;w Twoim koszyku znajdujš się akcesoria sterowane za pomocš pilota lub przełšcznika naciennego. Do kompletu potrzebne jest sterowanie elektryczne.
112;gross;cart;brutto
113;netto;cart;netto
114;no_article_in_cart;cart;brak towarów w koszyku
115;price_zero_br;cart;brak ceny
116;price_zero_nt;cart;brak ceny
117;question_add_promotion_item;cart;Super promocja!
