Lp;etykieta [label];grupa;English [e]
1;Go up;;Go up

2;No right to page;action;No authorization to website
3;No right to run;action;No authorization to perform action

4;Accept notice;admin;Comments sent to customer on confirmation
5;Actions;admin;Actions
6;Add company;admin;Add company
7;All categories;admin;All categories
8;All customers;admin;All customers
9;Are you sure you want to delete;admin;Are you sure you want to delete
10;Begin;admin;Beginning
11;Big photo;admin;Large photo
12;Box measure;admin;Package unit
13;Cart time;admin;Cart time
14;Categories;admin;Categories
15;category;admin;Category
16;Check for print list;admin;Mark for printing
17;Choose from list;admin;Select from list
18;Code;admin;Code
19;customer;admin;Customer
20;Customer;admin;Customer
21;Date / no;admin;Date/No.
22;default_accept_notice;admin;
23;Default discount;admin;Default discount
24;default_reject_notice;admin;
25;End;admin;End
26;Forward;admin;
27;Items;admin;How many articles
28;Keywords;admin;Keywords
29;Limit;admin;Limit
30;Look;admin;View
31;Market price;admin;Market price
32;Measure;admin;Unit
33;Middle photo;admin;Middle-size photo
34;page;admin;Page
35;Producer;admin;Producer
36;Quant;admin;Quantum 
37;Reject notice;admin;Reason for rejection
38;Set status;admin;Assign status
39;Shop;admin;Store
40;Short description;admin;Short description
41;Small photo;admin;Small photo
42;Sort by;admin;Sort according to
43;Sort priority;admin;Sorting defined
44;Stack controll;admin;Stock control
45;Time range;admin;Time range

46;Action;article;Action 
47;Article name;article;Article name
48;Article photo;article;Article photo
49;Description;article;Description
50;Price;article;Price
51;Promotion;article;Promotion- w sensie reklama, je¿li chodzi o nizsz¹ cene to  discount price
52;Stack;article;Stock  

53;Add to cart;buttons;Add to cart
54;Add to favorite;buttons;Add to favourites
55;Ask;buttons;Ask
56;Back;buttons;Back
57;Delete this;buttons;Delete
58;Order this product;buttons;Order this product
59;Print to AcrobatReader;buttons;Print to PDF
60;Show list;buttons;Show list
61;Show this product;buttons;Show this product

62;All prices are gross prices;cart;All prices provided are gross prices
63;all_prices_gross_values;cart;All prices provided are gross prices
64;Are You sure; You want to clear the cart ?;Are you sure you want to clear the cart?
65;Are You sure; You want to delete this article ?;Are you sure you want to clear the cart?
66;Article added to offer;cart;Article added to cart
67;Article chain;cart;Article chain
68;Article id.;cart;Article id
69;Article Id;cart;Article id
70;Article index.;cart;Article index
71;article_items_in_cart;cart;Current number of articles in cart
72;Article sizes;cart;Dimensions
73;Article spec.;cart;
74;cancel;cart;Cancel
